ID;Date ;Maximum_Temperature;Minimum_Temperature;Temperature;Wind_Chill;Heat_Index;Precipitation;Snow _Depth;Wind_Speed;Wind_Gust;Visibility;Cloud_Cover;Relative_Humidity;Conditions
960;2020-03-07;21;17;18,9;;;0,9;;16,2;;8,9;71,1;90,83;Rain, Partially cloudy
1620;2020-03-08;24,8;8,9;17,9;7,9;;0;;19,8;32,4;10;8,3;67,65;Clear
1426;2020-03-09;20,5;13,7;18;;;0;;18;21,6;9,8;47;81,42;Partially cloudy
526;2020-03-10;15;10;12,6;8,8;;7;;25,2;32,4;8,1;80,5;88,94;Rain, Overcast
1903;2020-03-11;7,3;4,7;6;1,6;;3;;18;18;8;98,1;93,28;Rain, Overcast
229;2020-03-12;-0,5;-2,2;-1,6;-9,1;;1,6;1;30,6;39,6;6,7;98,4;94,17;Snow, Overcast
1936;2020-04-01;2,8;-1;0,9;-6,7;;1,3;;21,6;36;7,5;86,6;91,63;Rain, Overcast
449;2020-04-02;1,8;-3,6;-0,2;-7,6;;0;;16,2;25,2;10,6;68,9;75;Partially cloudy
1398;2020-04-03;10;4;7;0,3;;0;;18;25,2;10,1;45,7;86,14;Partially cloudy
1290;2020-04-04;6,5;-1,5;2,2;-5,9;;0;;18;32,4;11,2;43,4;70,16;Partially cloudy
1957;2020-04-05;18,5;9,3;13,5;6,8;;0;;21,6;32,4;10,8;24;63,1;Clear
1983;2020-04-06;17;7;12,6;8;;0,3;;25,2;36;9,4;52,4;75,35;Rain, Partially cloudy
1717;2020-04-07;24;16;20,4;;;0;;16,2;21,6;10;59;72,69;Partially cloudy
1191;2020-04-08;28;13,5;20,8;;27,5;0;;28,8;39,6;10,2;14,2;59,86;Clear
1902;2020-04-09;21;11;16,3;;;0;;14,4;21,6;9,8;43,5;80,02;Partially cloudy
1614;2020-04-10;20;13;16,2;;;0;;41,4;54;9,9;46,4;78,99;Partially cloudy
1259;2020-04-11;9;7;7,6;4,1;;7;;16,2;21,6;3,5;99,5;99;Rain, Overcast
982;2020-04-12;0,3;-2;-0,7;-8,7;;0;2;34,2;43,2;5,9;100;95,79;Snow, Overcast
1340;2020-05-01;1,1;-1;-0,1;-5,5;;0;;23,4;32,4;10,5;88,8;83,27;Overcast
1744;2020-05-02;-0,7;-6,1;-3,8;-12,8;;0;;21,6;28,8;11,3;7,6;67,76;Clear
1057;2020-05-03;8,3;0;4,2;-2,1;;1,6;;19,8;28,8;7,5;80,3;95,4;Rain, Overcast
1151;2020-05-04;10,5;-3,5;3,5;-7,7;;0;;30,6;43,2;11,7;6,1;58,13;Clear
1169;2020-05-05;12;8,4;9,8;5,5;;4;;27;39,6;10,1;81,8;86,73;Rain, Overcast
1824;2020-05-06;21,6;5;14;4,5;;0;;23,4;36;8,6;47,9;72,98;Partially cloudy
99;2020-05-07;26;12;20,4;;;0;;18;25,2;10,2;13,7;68,22;Clear
927;2020-05-08;23,5;17;20,2;;;0;;18;25,2;10;40,4;71,87;Partially cloudy
377;2020-05-09;20;9;14,9;9,6;;0;;16,2;21,6;9,8;36,8;87,35;Partially cloudy
612;2020-05-10;18;14,5;16;;;4;;28,8;43,2;9,7;59,2;81,92;Rain, Partially cloudy
1199;2020-05-11;8,9;4,5;6,7;1,9;;0,8;;21,6;36;11,3;77,8;89,13;Rain, Overcast
466;2020-05-12;0,8;-1;-0,5;-8,4;;0;1;36;43,2;2,2;95,8;99,4;Snow, Overcast
1714;2020-06-01;0;-3;-1,4;-6,5;;0;;16,2;28,8;10,2;76,9;80,58;Overcast
511;2020-06-02;2,3;-6;-1,7;-11,4;;1,8;1;30,6;50,4;9,9;62,6;81,25;Snow, Partially cloudy
1837;2020-06-03;5;-0,4;2,1;-0,3;;0;;12,6;18;7,4;79,3;89,9;Overcast
1309;2020-06-04;14;-3,6;5,5;-6;;0;;19,8;28,8;12;5,3;58,56;Clear
1868;2020-06-05;12,5;9;10,3;7,3;;12,7;;18;25,2;9,4;90,3;97,11;Rain, Overcast
592;2020-06-06;24;13,5;19,3;;;0;;28,8;43,2;10,2;39,3;69,92;Partially cloudy
350;2020-06-07;27;18,5;21,9;;27,8;2;;21,6;39,6;9,3;36,7;75,08;Rain, Partially cloudy
12;2020-06-08;26,3;16;20,3;;;2;;14,4;28,8;10,1;30,2;75,59;Rain, Partially cloudy
965;2020-06-09;19,1;13;16,1;;;0,9;;16,2;25,2;9,4;59,8;89,68;Rain, Partially cloudy
1064;2020-06-10;17;14;15;;;0,5;;32,4;43,2;8,6;94,4;91,01;Rain, Overcast
102;2020-06-11;10,5;6;7,8;2,1;;0,1;;27;39,6;10;71,5;90,39;Rain, Partially cloudy
432;2020-06-12;-0,4;-6;-2;-13,1;;0;1;28,8;39,7;7,5;52;85,08;Snow, Partially cloudy
1078;2020-07-01;0,6;-1;-0,2;-4,8;;0,5;1;12,6;;4,4;100;98,39;Snow, Overcast
1072;2020-07-02;-2,5;-7,5;-5;-13,7;;0;;36;50,4;10,2;38,9;64,17;Partially cloudy
451;2020-07-03;7;2;4;-1,1;;0,4;;12,6;;9,2;91,7;91,94;Rain, Overcast
1784;2020-07-04;18,3;-2,8;8,4;-3,5;;0;;25,2;39,6;10,8;5,9;46,6;Clear
5;2020-07-05;14;4,5;10;1,6;;0;;37,8;54;10,3;28,9;58,92;Partially cloudy
1251;2020-07-06;23,1;10,5;17,8;;;0;;25,2;32,4;10,6;23,9;78,9;Clear
1278;2020-07-07;18;13,5;15,5;;;23,7;;23,4;32,4;9,4;71,6;88,26;Rain, Partially cloudy
1119;2020-07-08;27,1;12;20,5;;27,1;0;;12,6;21,6;10;9,8;67,87;Clear
77;2020-07-09;17;7,7;11,9;8,5;;14;;18;;7,6;60,4;94,72;Rain, Partially cloudy
1241;2020-07-10;14,5;12;13,4;;;0;;16,2;;5,2;82,9;97,97;Overcast
338;2020-07-11;11;8;8,9;4,2;;0,1;;27;43,2;9,8;96;93,15;Rain, Overcast
